Date,SalesRep,Product,Units,Price,Total Sales,City,State,Region,Day
2/5/2013,Beth  Tucker,Nestle Kit Kat Cone,2,164,328,Pune,,,Tuesday
2/5/2013,Robert  Munoz,Nestle Nobbly Bobbly,2,278,556,Delhi,,,Tuesday
2/6/2013,Elvira  Bowman,Nestle Smarties Pop-Up,3,396,1188,Srinagar,,,Wednesday
2/6/2013,Brooke  Horton,Nestle Toffee Crumble,2,296,592,Nainital,,,Wednesday
2/6/2013,Salvador  Bass,Nestle Smarties Pop-Up,1,233,233,Goa,,,Wednesday
2/6/2013,Patty  Thompson,Nestle Rolo Potz,3,189,567,Mumbai,,,Wednesday
2/6/2013,Felicia  Jennings,Nestle Rolo Potz,1,118,118,Pune,,,Wednesday
2/6/2013,Edwin  Malone,Nestle Kit Kat Cone,1,426,426,Kolkata,,,Wednesday
2/6/2013,Iris  Underwood,Nestle Kit Kat Cone,3,435,1305,Pune,,,Wednesday
2/6/2013,Salvador  Bass,Nestle Fab,1,464,464,Goa,,,Wednesday
2/7/2013,Jaime  Pearson,Nestle Milky Bar Stick,1,337,337,Jodhpur,,,Thursday
2/7/2013,Arturo  Francis,Nestle Smarties Pop-Up,1,472,472,Ranchi,,,Thursday
2/7/2013,Shari  Silva,Nestle Fab,3,185,555,Mysore,,,Thursday
2/7/2013,Herman  Williams,Nestle Toffee Crumble,1,416,416,Darjeeling,,,Thursday
2/8/2013,Trevor  Jones,Nestle Smarties Pop-Up,1,396,396,Pune,,,Friday
2/8/2013,Eric  Rose,Nestle Fab,2,248,496,Mumbai,,,Friday
2/8/2013,Lula  Daniels,Nestle Toffee Crumble,12,217,2604,Nainital,,,Friday
2/8/2013,Fernando  Rowe,Nestle Rowntree Fruit Pastil,1,317,317,Ahmedabad,,,Friday
2/8/2013,Lorraine  Gibson,Nestle Toffee Crumble,3,362,1086,Kolkata,,,Friday
2/8/2013,Donna  Reid,Nestle Fab,2,137,274,Goa,,,Friday
2/8/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,294,1176,Delhi,,,Friday
2/9/2013,Jaime  Pearson,Nestle Rowntree Screamers,2,146,292,Jodhpur,,,Saturday
2/9/2013,Donna  Reid,Nestle Rolo Potz,13,463,6019,Goa,,,Saturday
2/9/2013,Lynette  Brewer,Nestle Rowntree Fruit Pastil,2,464,928,Varanasi,,,Saturday
2/9/2013,Colleen  Warren,Nestle Milky Bar Stick,2,394,788,Ahmedabad,,,Saturday
2/9/2013,Robert  Munoz,Nestle Smarties Pop-Up,1,136,136,Delhi,,,Saturday
2/9/2013,Iris  Underwood,Nestle Rowntree Fruit Pastil,3,361,1083,Pune,,,Saturday
2/10/2013,Kyle  Carr,Nestle Nobbly Bobbly,3,217,651,Delhi,,,Sunday
2/10/2013,Robert  Munoz,Nestle Rowntree Screamers,2,286,572,Delhi,,,Sunday
2/11/2013,Arturo  Francis,Nestle Rolo Potz,3,132,396,Ranchi,,,Monday
2/11/2013,Mable  Lindsey,Nestle Aero Mint Potz,2,331,662,Ahmedabad,,,Monday
2/11/2013,Johanna  Boone,Nestle Aero Mint Potz,4,294,1176,Mysore,,,Monday
2/11/2013,Lula  Daniels,Nestle Toffee Crumble,18,163,2934,Nainital,,,Monday
2/11/2013,Tracy  Reed,Nestle Maxibon Cookie,3,487,1461,Agra,,,Monday
2/11/2013,Eddie  Green,Nestle Smarties Pop-Up,3,144,432,Durgapur,,,Monday
2/11/2013,Herman  Williams,Nestle Toffee Crumble,1,269,269,Darjeeling,,,Monday
2/11/2013,Guillermo  Potter,Nestle Rolo Potz,3,166,498,Nainital,,,Monday
2/11/2013,Ernest  Davis,Nestle Fab,4,469,1876,Mumbai,,,Monday
2/12/2013,Trevor  Jones,Nestle Rowntree Screamers,1,122,122,Pune,,,Tuesday
2/12/2013,Brooke  Horton,Nestle Smarties Pop-Up,4,140,560,Nainital,,,Tuesday
2/12/2013,Herman  Williams,Nestle Nobbly Bobbly,1,133,133,Darjeeling,,,Tuesday
2/13/2013,Eddie  Green,Nestle Fab,1,308,308,Durgapur,,,Wednesday
2/13/2013,Salvador  Bass,Nestle Aero Mint Potz,3,186,558,Goa,,,Wednesday
2/13/2013,Iris  Underwood,Nestle Fab,3,248,744,Pune,,,Wednesday
2/14/2013,Donna  Reid,Nestle Toffee Crumble,3,386,1158,Goa,,,Thursday
2/14/2013,Rachel  Gomez,Nestle Rowntree Screamers,1,269,269,Delhi,,,Thursday
2/14/2013,Bobbie  Ryan,Nestle Aero Mint Potz,1,470,470,Darjeeling,,,Thursday
2/14/2013,Eddie  Green,Nestle Milky Bar Stick,4,261,1044,Durgapur,,,Thursday
2/14/2013,Shari  Silva,Nestle Milky Bar Stick,3,197,591,Mysore,,,Thursday
2/15/2013,Lynette  Brewer,Nestle Nobbly Bobbly,2,433,866,Varanasi,,,Friday
2/15/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,3,437,1311,Pune,,,Friday
2/15/2013,Charlie  Wood,Nestle Fab,2,331,662,Agra,,,Friday
2/15/2013,Bethany  Pena,Nestle Maxibon Cookie,2,221,442,Nagpur,,,Friday
2/15/2013,Shari  Silva,Nestle Rolo Potz,2,362,724,Mysore,,,Friday
2/16/2013,Ernest  Davis,Nestle Smarties Pop-Up,2,364,728,Mumbai,,,Saturday
2/16/2013,Lance  Yates,Nestle Maxibon Cookie,3,391,1173,Srinagar,,,Saturday
2/16/2013,Jenny  Garcia,Nestle Kit Kat Cone,3,210,630,Shimla,,,Saturday
2/17/2013,Pauline  Beck,Nestle Aero Mint Potz,18,205,3690,Pune,,,Sunday
2/17/2013,Ellen  Weaver,Nestle Fab,2,365,730,Hyderabad,,,Sunday
2/17/2013,Austin  Reynolds,Nestle Aero Mint Potz,3,344,1032,Kolkata,,,Sunday
2/17/2013,Willie  Vega,Nestle Maxibon Cookie,3,145,435,Delhi,,,Sunday
2/17/2013,Salvador  Bass,Nestle Aero Mint Potz,3,109,327,Goa,,,Sunday
2/17/2013,Rachel  Gomez,Nestle Milky Bar Stick,13,293,3809,Delhi,,,Sunday
2/18/2013,Drew  Rogers,Nestle Nobbly Bobbly,4,467,1868,Delhi,,,Monday
2/18/2013,Guillermo  Potter,Nestle Aero Mint Potz,4,296,1184,Nainital,,,Monday
2/19/2013,Cassandra  Franklin,Nestle Toffee Crumble,4,390,1560,Delhi,,,Tuesday
2/19/2013,Cindy  Becker,Nestle Milky Bar Stick,17,410,6970,Bangalore,,,Tuesday
2/20/2013,Max  Rodgers,Nestle Fab,2,213,426,Nagpur,,,Wednesday
2/20/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,3,101,303,Mysore,,,Wednesday
2/20/2013,Robert  Munoz,Nestle Aero Mint Potz,3,101,303,Delhi,,,Wednesday
2/21/2013,Cassandra  Franklin,Nestle Rolo Potz,1,291,291,Delhi,,,Thursday
2/21/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,347,694,Goa,,,Thursday
2/21/2013,Johanna  Boone,Nestle Maxibon Cookie,3,485,1455,Mysore,,,Thursday
2/21/2013,Eddie  Green,Nestle Milky Bar Stick,1,338,338,Durgapur,,,Thursday
2/21/2013,Woodrow  Colon,Nestle Nobbly Bobbly,3,141,423,Cochin,,,Thursday
2/22/2013,Iris  Underwood,Nestle Kit Kat Cone,16,474,7584,Pune,,,Friday
2/22/2013,Isabel  Cross,Nestle Rolo Potz,3,409,1227,Ranchi,,,Friday
2/22/2013,Max  Rodgers,Nestle Kit Kat Cone,1,453,453,Nagpur,,,Friday
2/22/2013,Charlie  Wood,Nestle Kit Kat Cone,13,354,4602,Agra,,,Friday
2/23/2013,Tiffany  May,Nestle Rowntree Screamers,3,253,759,Agra,,,Saturday
2/23/2013,Marian  Hill,Nestle Milky Bar Stick,1,301,301,Trivandrum,,,Saturday
2/23/2013,Isabel  Cross,Nestle Aero Mint Potz,3,409,1227,Ranchi,,,Saturday
2/23/2013,Salvador  Bass,Nestle Nobbly Bobbly,3,447,1341,Goa,,,Saturday
2/23/2013,Lula  Daniels,Nestle Fab,4,142,568,Nainital,,,Saturday
2/24/2013,Brooke  Horton,Nestle Rowntree Fruit Pastil,1,280,280,Nainital,,,Sunday
2/24/2013,Salvador  Bass,Nestle Rowntree Fruit Pastil,1,247,247,Goa,,,Sunday
2/24/2013,Felicia  Jennings,Nestle Aero Mint Potz,3,284,852,Pune,,,Sunday
2/24/2013,Elbert  Klein,Nestle Milky Bar Stick,2,401,802,Cochin,,,Sunday
2/24/2013,Cecilia  Manning,Nestle Toffee Crumble,3,365,1095,Trivandrum,,,Sunday
2/24/2013,Bobbie  Ryan,Nestle Rolo Potz,2,222,444,Darjeeling,,,Sunday
2/25/2013,Elvira  Bowman,Nestle Rowntree Fruit Pastil,3,440,1320,Srinagar,,,Monday
2/26/2013,Edwin  Malone,Nestle Maxibon Cookie,20,325,6500,Kolkata,,,Tuesday
2/26/2013,Jaime  Pearson,Nestle Kit Kat Cone,1,336,336,Jodhpur,,,Tuesday
2/26/2013,Shari  Silva,Nestle Nobbly Bobbly,2,236,472,Mysore,,,Tuesday
2/26/2013,Robert  Munoz,Nestle Fab,2,177,354,Delhi,,,Tuesday
2/26/2013,Johanna  Boone,Nestle Smarties Pop-Up,3,401,1203,Mysore,,,Tuesday
2/26/2013,Drew  Rogers,Nestle Rowntree Screamers,2,204,408,Delhi,,,Tuesday
2/26/2013,Tiffany  May,Nestle Smarties Pop-Up,1,413,413,Agra,,,Tuesday
2/27/2013,Willie  Vega,Nestle Fab,1,106,106,Delhi,,,Wednesday
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3/3/2013,Eric  Rose,Nestle Rowntree Fruit Pastil,2,137,274,Mumbai,,,Sunday
3/3/2013,Sonya  Mullins,Nestle Aero Mint Potz,2,479,958,Kolkata,,,Sunday
3/3/2013,Elaine  Ellis,Nestle Rolo Potz,2,291,582,Hyderabad,,,Sunday
3/3/2013,Elvira  Bowman,Nestle Smarties Pop-Up,4,252,1008,Srinagar,,,Sunday
3/3/2013,Jaime  Pearson,Nestle Milky Bar Stick,3,162,486,Jodhpur,,,Sunday
3/3/2013,Iris  Underwood,Nestle Rowntree Screamers,1,149,149,Pune,,,Sunday
3/3/2013,Robert  Munoz,Nestle Smarties Pop-Up,2,138,276,Delhi,,,Sunday
3/4/2013,Iris  Underwood,Nestle Smarties Pop-Up,2,383,766,Pune,,,Monday
3/4/2013,Rachel  Gomez,Nestle Aero Mint Potz,2,238,476,Delhi,,,Monday
3/4/2013,Elvira  Bowman,Nestle Smarties Pop-Up,2,415,830,Srinagar,,,Monday
3/4/2013,Christy  Olson,Nestle Aero Mint Potz,1,211,211,Surat,,,Monday
3/4/2013,Christina  Fuller,Nestle Milky Bar Stick,10,101,1010,Nagpur,,,Monday
3/4/2013,Salvador  Bass,Nestle Nobbly Bobbly,1,494,494,Goa,,,Monday
3/4/2013,Lorraine  Gibson,Nestle Milky Bar Stick,3,389,1167,Kolkata,,,Monday
3/5/2013,Don  Gonzales,Nestle Smarties Pop-Up,2,235,470,Mysore,,,Tuesday
3/5/2013,Max  Rodgers,Nestle Smarties Pop-Up,3,207,621,Nagpur,,,Tuesday
3/5/2013,Charlie  Wood,Nestle Fab,3,239,717,Agra,,,Tuesday
3/5/2013,Blake  Bridges,Nestle Kit Kat Cone,3,429,1287,Cochin,,,Tuesday
3/6/2013,Billie  Chandler,Nestle Nobbly Bobbly,21,367,7707,Surat,,,Wednesday
3/6/2013,Lee  Mack,Nestle Rowntree Screamers,2,364,728,Delhi,,,Wednesday
3/6/2013,Isabel  Cross,Nestle Toffee Crumble,7,125,875,Ranchi,,,Wednesday
3/6/2013,Marian  Hill,Nestle Rolo Potz,2,433,866,Trivandrum,,,Wednesday
3/6/2013,Brooke  Horton,Nestle Fab,3,496,1488,Nainital,,,Wednesday
3/7/2013,Iris  Underwood,Nestle Milky Bar Stick,2,104,208,Pune,,,Thursday
3/7/2013,Rachel  Gomez,Nestle Maxibon Cookie,2,401,802,Delhi,,,Thursday
3/7/2013,Rachel  Gomez,Nestle Aero Mint Potz,16,215,3440,Delhi,,,Thursday
3/8/2013,Joey  Wong,Nestle Maxibon Cookie,1,211,211,Goa,,,Friday
3/8/2013,Kyle  Carr,Nestle Toffee Crumble,1,130,130,Delhi,,,Friday
3/8/2013,Lee  Mack,Nestle Toffee Crumble,4,254,1016,Delhi,,,Friday
3/8/2013,Nellie  Joseph,Nestle Rowntree Fruit Pastil,3,494,1482,Patna,,,Friday
3/8/2013,Felicia  Jennings,Nestle Milky Bar Stick,2,265,530,Pune,,,Friday
3/8/2013,Christina  Fuller,Nestle Milky Bar Stick,9,243,2187,Nagpur,,,Friday
3/9/2013,Ivan  Adkins,Nestle Milky Bar Stick,3,276,828,Mumbai,,,Saturday
3/9/2013,Billie  Chandler,Nestle Aero Mint Potz,2,489,978,Surat,,,Saturday
3/9/2013,Ellen  Weaver,Nestle Rowntree Fruit Pastil,3,259,777,Hyderabad,,,Saturday
3/9/2013,Sylvester  Morales,Nestle Smarties Pop-Up,2,386,772,Mumbai,,,Saturday
3/9/2013,Cassandra  Franklin,Nestle Rowntree Fruit Pastil,2,471,942,Delhi,,,Saturday
3/9/2013,Andrew  Meyer,Nestle Rolo Potz,2,277,554,Mumbai,,,Saturday
3/10/2013,Patty  Thompson,Nestle Smarties Pop-Up,11,291,3201,Mumbai,,,Sunday
3/10/2013,Beth  Tucker,Nestle Rolo Potz,2,437,874,Pune,,,Sunday
